localhost (ubuntu18.04)
=======================
Total: 293 (High:44 Medium:219 Low:30 ?:0), 44/293 Fixed, 2052 installed, 7 updatable, 6 exploits, 0 modules, en: 2, ja: 0 alerts

Warning: Some warnings occurred.
[Failed to dpkg-ps:
    github.com/future-architect/vuls/scan.(*debian).postScan
        /go/src/github.com/future-architect/vuls/scan/debian.go:256
  - pkg not found [1mdpkg-query:
    github.com/future-architect/vuls/scan.(*debian).dpkgPs
        /go/src/github.com/future-architect/vuls/scan/debian.go:1328]


+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
|      CVE-ID      | CVSS | ATTACK | POC |  CERT  |  FIXED  |                        NVD                        |
+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
| CVE-2017-9525    | 10.0 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9525    |
| CVE-2019-18276   | 10.0 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-18276   |
| CVE-2014-5044    |  9.8 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2014-5044    |
| CVE-2016-9085    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9085    |
| CVE-2017-18201   |  9.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-18201   |
| CVE-2017-8283    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-8283    |
| CVE-2018-20177   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20177   |
| CVE-2018-20179   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20179   |
| CVE-2018-20180   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20180   |
| CVE-2018-20181   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20181   |
| CVE-2018-20182   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20182   |
| CVE-2018-20839   |  9.8 |  AV:P  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20839   |
| CVE-2018-8793    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8793    |
| CVE-2018-8794    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8794    |
| CVE-2018-8795    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8795    |
| CVE-2018-8797    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8797    |
| CVE-2018-8800    |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8800    |
| CVE-2019-10160   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10160   |
| CVE-2019-13224   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13224   |
| CVE-2019-17041   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17041   |
| CVE-2019-17042   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17042   |
| CVE-2019-17113   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17113   |
| CVE-2019-19012   |  9.8 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19012   |
| CVE-2019-19203   |  9.8 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19203   |
| CVE-2019-19204   |  9.8 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19204   |
| CVE-2019-19948   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19948   |
| CVE-2019-19952   |  9.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19952   |
| CVE-2020-14343   |  9.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-14343   |
| CVE-2020-26154   |  9.8 |  AV:A  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-26154   |
| CVE-2019-19814   |  9.3 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19814   |
| CVE-2020-15663   |  9.3 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15663   |
| CVE-2016-9180    |  9.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9180    |
| CVE-2019-19949   |  9.1 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19949   |
| CVE-2019-9948    |  9.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9948    |
| CVE-2015-5237    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-5237    |
| CVE-2017-14160   |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-14160   |
| CVE-2018-1000021 |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000021 |
| CVE-2018-10392   |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10392   |
| CVE-2018-11489   |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11489   |
| CVE-2018-11710   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11710   |
| CVE-2018-21010   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-21010   |
| CVE-2018-7160    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7160    |
| CVE-2019-11707   |  8.8 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11707   |
| CVE-2019-13616   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13616   |
| CVE-2019-17594   |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17594   |
| CVE-2019-20063   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-20063   |
| CVE-2019-7572    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7572    |
| CVE-2019-7573    |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7573    |
| CVE-2019-7574    |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7574    |
| CVE-2019-7575    |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7575    |
| CVE-2019-7576    |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7576    |
| CVE-2019-7577    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7577    |
| CVE-2019-7578    |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-7578    |
| CVE-2019-9543    |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9543    |
| CVE-2019-9545    |  8.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9545    |
| CVE-2020-15656   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15656   |
| CVE-2020-15659   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15659   |
| CVE-2020-15667   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15667   |
| CVE-2020-15670   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15670   |
| CVE-2020-15673   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15673   |
| CVE-2020-15674   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15674   |
| CVE-2020-15675   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15675   |
| CVE-2020-15678   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15678   |
| CVE-2020-15969   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-15969   |
| CVE-2020-27153   |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-27153   |
| CVE-2020-6463    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-6463    |
| CVE-2020-8112    |  8.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-8112    |
| CVE-2016-2781    |  8.6 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2781    |
| CVE-2018-12115   |  8.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12115   |
| CVE-2019-13351   |  8.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13351   |
| CVE-2019-17543   |  8.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17543   |
| CVE-2020-6096    |  8.1 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2020-6096    |
| CVE-2020-14878   |  8.0 |  AV:A  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2020-14878   |
| CVE-2013-7445    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-7445    |
| CVE-2016-2568    |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2568    |
| CVE-2017-11164   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11164   |
| CVE-2017-13165   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-13165   |
| CVE-2017-15131   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15131   |
| CVE-2018-1000035 |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000035 |
| CVE-2018-12930   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12930   |
| CVE-2018-12931   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12931   |
| CVE-2018-19358   |  7.8 |  AV:P  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19358   |
| CVE-2019-1010180 |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-1010180 |
| CVE-2019-12439   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12439   |
| CVE-2019-16230   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-16230   |
| CVE-2019-19378   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19378   |
| CVE-2019-20425   |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-20425   |
| CVE-2019-20429   |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-20429   |
| CVE-2019-5429    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-5429    |
| CVE-2019-9511    |  7.8 |  AV:N  |     | USCERT | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9511    |
| CVE-2019-9513    |  7.8 |  AV:N  |     | USCERT | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9513    |
| CVE-2019-9587    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9587    |
| CVE-2019-9588    |  7.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9588    |
| CVE-2009-5155    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2009-5155    |
| CVE-2014-3495    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-3495    |
| CVE-2015-9541    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-9541    |
| CVE-2017-16516   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16516   |
| CVE-2017-9814    |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9814    |
| CVE-2018-10393   |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10393   |
| CVE-2018-10767   |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10767   |
| CVE-2018-11813   |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11813   |
| CVE-2018-12116   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12116   |
| CVE-2018-12121   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12121   |
| CVE-2018-12122   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12122   |
| CVE-2018-12648   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12648   |
| CVE-2018-20174   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20174   |
| CVE-2018-20175   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20175   |
| CVE-2018-20176   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20176   |
| CVE-2018-20178   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20178   |
| CVE-2018-5709    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5709    |
| CVE-2018-6952    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6952    |
| CVE-2018-7167    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7167    |
| CVE-2018-8791    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8791    |
